./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,122,2000,131,1,1,2,2,122,51,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,274,2000,189,2,2,3,5,128,35,0.999505,0.999505,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,791,2000,200,1,3,1,2,120,51,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,913,2000,219,2,3,2,2,109,36,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,1278,2000,193,0,2,2,2,106,43,0.99901,0.99901,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,1673,2000,228,3,1,1,1,126,46,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,2038,2000,212,5,2,1,2,134,51,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,2221,2000,190,3,3,1,1,133,49,0.99901,0.99901,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,2434,2000,171,0,0,2,1,124,39,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,2586,2000,201,0,2,3,3,113,46,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,2768,2000,202,2,4,1,3,132,45,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.0_repcost0_conscost0.99_run1_rep0_counts.csv,2920,2000,177,4,1,2,0,132,36,1.0,1.0,1.0,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,122,2000,109,2,0,1,1,128,45,0.702010000000025,1.0,0.702010000000025,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,274,2000,180,2,0,2,3,120,48,0.7095938000000228,0.99901,0.7103000000000229,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,791,2000,218,0,5,0,6,121,51,0.7030006384222065,1.0,0.7030006384222065,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,913,2000,196,1,3,2,0,109,29,0.7003621427312459,1.0,0.7003621427312459,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,1278,2000,205,0,0,1,3,115,51,0.7010671422905158,1.0,0.7010671422905158,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,1673,2000,211,1,2,1,1,128,34,0.7353650000000101,1.0,0.7353650000000101,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,2038,2000,177,2,1,0,2,130,31,0.7102135000000219,0.999505,0.7105600000000218,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,2221,2000,207,3,2,2,4,129,50,0.7131666666666876,1.0,0.7131666666666876,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,2434,2000,184,0,1,3,1,142,43,0.7024000000000249,1.0,0.7024000000000249,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,2586,2000,194,5,3,2,3,130,62,0.7227650000000164,1.0,0.7227650000000164,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,2768,2000,195,1,2,3,1,110,47,0.7173511213543284,1.0,0.7173511213543284,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0_conscost0.99_run1_rep0_counts.csv,2920,2000,160,2,0,1,3,132,37,0.7059686500000233,0.999505,0.7063300000000233,1.0
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,generation,active_cell_count,latent_cell_count,active_turned_latent,latent_turned_active,latent_died,latent_proliferated,number_mutations,number_dual_inf,mean_fitness_active,mean_conserved_active,mean_immune_active,mean_replicative_active
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,122,2000,113,2,2,1,0,124,58,0.6169898931256862,0.999505,0.7001350000000258,0.8816917594996336
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,274,2000,166,1,5,0,1,119,36,0.6140122310147585,1.0,0.7003900000000259,0.8766718578492281
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,791,2000,178,0,3,1,1,143,38,0.6357053578222749,0.999505,0.7347720109378932,0.8655858801386941
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,913,2000,215,3,4,0,2,128,52,0.6132296886886703,1.0,0.7112650000000206,0.862180329757828
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,1278,2000,191,2,1,3,0,108,45,0.5971046549850532,1.0,0.7000000000000259,0.8530130118405607
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,1673,2000,176,3,1,1,2,115,46,0.5892368893920896,1.0,0.7000300000000259,0.8417680940223828
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,2038,2000,222,2,5,3,3,120,37,0.594778859453025,1.0,0.7087820389754672,0.839160269241548
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,2221,2000,163,1,2,4,1,113,47,0.5979069166579063,1.0,0.7117033333333549,0.8401496163605655
./output/10137+1+B/simulations/10137+1+B_maxepi0.3_repcost0.001_conscost0.99_run1_rep0_counts.csv,2434,2000,177,0,0,1,1,118,49,0.6002779262629054,0.998515,0.7169400490546048,0.8385503667333128
